Model,TBS1052C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.1
Sample Interval,0.0008
Filter Frequency,2e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,1
Label,
TIME,CH1
-8.000e-01,0.6
-7.992e-01,0.8
-7.984e-01,1.04
-7.976e-01,0.84
-7.968e-01,1.08
-7.960e-01,1.2
-7.952e-01,1
-7.944e-01,1.32
-7.936e-01,1.52
-7.928e-01,1.48
-7.920e-01,1.52
-7.912e-01,1.36
-7.904e-01,1.52
-7.896e-01,1.28
-7.888e-01,0.92
-7.880e-01,0.48
-7.872e-01,0.96
-7.864e-01,0.72
-7.856e-01,1.16
-7.848e-01,0.96
-7.840e-01,0.8
-7.832e-01,1.36
-7.824e-01,1.2
-7.816e-01,0.96
-7.808e-01,1.24
-7.800e-01,-0.28
-7.792e-01,-0.2
-7.784e-01,-0.04
-7.776e-01,-0.08
-7.768e-01,0.4
-7.760e-01,0.68
-7.752e-01,0.16
-7.744e-01,-0.32
-7.736e-01,-1.32
-7.728e-01,0.16
-7.720e-01,0.08
-7.712e-01,-1.08
-7.704e-01,-1.76
-7.696e-01,-1.04
-7.688e-01,-0.56
-7.680e-01,-1.12
-7.672e-01,-1.12
-7.664e-01,-1.36
-7.656e-01,-0.56
-7.648e-01,-0.32
-7.640e-01,-0.48
-7.632e-01,-0.44
-7.624e-01,-0.8
-7.616e-01,-0.84
-7.608e-01,-1.04
-7.600e-01,-0.76
-7.592e-01,-0.88
-7.584e-01,-1.12
-7.576e-01,-0.84
-7.568e-01,-0.72
-7.560e-01,-0.76
-7.552e-01,-0.68
-7.544e-01,-0.36
-7.536e-01,-0.4
-7.528e-01,-0.56
-7.520e-01,-0.68
-7.512e-01,-0.6
-7.504e-01,-0.2
-7.496e-01,-0.36
-7.488e-01,-0.6
-7.480e-01,0.2
-7.472e-01,0.08
-7.464e-01,-0.32
-7.456e-01,-0.56
-7.448e-01,-0.04
-7.440e-01,-0.28
-7.432e-01,-0.24
-7.424e-01,-0.08
-7.416e-01,0
-7.408e-01,-0.16
-7.400e-01,-0.36
-7.392e-01,-0.32
-7.384e-01,-0.12
-7.376e-01,-0.04
-7.368e-01,0.04
-7.360e-01,0.16
-7.352e-01,0.16
-7.344e-01,0.4
-7.336e-01,0.32
-7.328e-01,0.48
-7.320e-01,0.44
-7.312e-01,0.28
-7.304e-01,0.24
-7.296e-01,0.32
-7.288e-01,0.16
-7.280e-01,0.04
-7.272e-01,0.16
-7.264e-01,0.08
-7.256e-01,0.12
-7.248e-01,0.32
-7.240e-01,0.44
-7.232e-01,0.64
-7.224e-01,0.56
-7.216e-01,0.56
-7.208e-01,0.88
-7.200e-01,1.08
-7.192e-01,0.76
-7.184e-01,0.68
-7.176e-01,0.64
-7.168e-01,0.72
-7.160e-01,0.48
-7.152e-01,0.44
-7.144e-01,0.76
-7.136e-01,0.68
-7.128e-01,0.76
-7.120e-01,0.88
-7.112e-01,0.68
-7.104e-01,1.88
-7.096e-01,0.92
-7.088e-01,0.48
-7.080e-01,1.32
-7.072e-01,0.8
-7.064e-01,1.2
-7.056e-01,0.48
-7.048e-01,0.2
-7.040e-01,0.44
-7.032e-01,0.4
-7.024e-01,0.56
-7.016e-01,0.16
-7.008e-01,0.44
-7.000e-01,0.52
-6.992e-01,0.12
-6.984e-01,-0.08
-6.976e-01,-0.04
-6.968e-01,-0.2
-6.960e-01,-0.36
-6.952e-01,-0.88
-6.944e-01,-1.52
-6.936e-01,-0.84
-6.928e-01,-1.2
-6.920e-01,-2.2
-6.912e-01,-1.96
-6.904e-01,-1.36
-6.896e-01,-1.8
-6.888e-01,-1.8
-6.880e-01,-0.96
-6.872e-01,-1.24
-6.864e-01,-1.04
-6.856e-01,-0.64
-6.848e-01,-1.04
-6.840e-01,-0.72
-6.832e-01,-0.8
-6.824e-01,-1.32
-6.816e-01,-1.04
-6.808e-01,-1.16
-6.800e-01,-1.16
-6.792e-01,-1
-6.784e-01,-2.32
-6.776e-01,-0.4
-6.768e-01,-0.48
-6.760e-01,-0.52
-6.752e-01,-0.4
-6.744e-01,0.44
-6.736e-01,0.2
-6.728e-01,0.04
-6.720e-01,0.2
-6.712e-01,-0.08
-6.704e-01,-0.24
-6.696e-01,-0.2
-6.688e-01,-0.16
-6.680e-01,-0.12
-6.672e-01,0.08
-6.664e-01,0.44
-6.656e-01,0.52
-6.648e-01,0.84
-6.640e-01,0.88
-6.632e-01,0.84
-6.624e-01,0.64
-6.616e-01,0.72
-6.608e-01,0.4
-6.600e-01,0.36
-6.592e-01,0.52
-6.584e-01,0.24
-6.576e-01,0.44
-6.568e-01,0.64
-6.560e-01,0.52
-6.552e-01,0.6
-6.544e-01,0.56
-6.536e-01,1.08
-6.528e-01,0.88
-6.520e-01,0.88
-6.512e-01,0.64
-6.504e-01,0.44
-6.496e-01,0.28
-6.488e-01,0.52
-6.480e-01,0.36
-6.472e-01,0.48
-6.464e-01,0.36
-6.456e-01,0.4
-6.448e-01,0.72
-6.440e-01,0.68
-6.432e-01,0.88
-6.424e-01,0.88
-6.416e-01,0.6
-6.408e-01,0.64
-6.400e-01,0.6
-6.392e-01,0.68
-6.384e-01,0.12
-6.376e-01,-0.04
-6.368e-01,-0.16
-6.360e-01,0.04
-6.352e-01,0.08
-6.344e-01,0.12
-6.336e-01,0.12
-6.328e-01,0.08
-6.320e-01,0.24
-6.312e-01,0.44
-6.304e-01,0.36
-6.296e-01,0.12
-6.288e-01,-0.36
-6.280e-01,0.16
-6.272e-01,-0.96
-6.264e-01,-0.12
-6.256e-01,-0.48
-6.248e-01,-0.72
-6.240e-01,-0.76
-6.232e-01,-0.64
-6.224e-01,-0.76
-6.216e-01,-0.2
-6.208e-01,-0.64
-6.200e-01,-0.88
-6.192e-01,-0.36
-6.184e-01,-0.04
-6.176e-01,-0.36
-6.168e-01,-0.36
-6.160e-01,-0.2
-6.152e-01,-0.32
-6.144e-01,-0.48
-6.136e-01,-1
-6.128e-01,-0.72
-6.120e-01,-0.6
-6.112e-01,-0.76
-6.104e-01,-0.64
-6.096e-01,-0.64
-6.088e-01,-0.6
-6.080e-01,-0.48
-6.072e-01,-0.52
-6.064e-01,-0.4
-6.056e-01,-0.32
-6.048e-01,-0.64
-6.040e-01,-0.36
-6.032e-01,-0.44
-6.024e-01,-0.72
-6.016e-01,-0.88
-6.008e-01,-0.72
-6.000e-01,-0.64
-5.992e-01,-0.64
-5.984e-01,0.92
-5.976e-01,-0.32
-5.968e-01,0.12
-5.960e-01,-0.24
-5.952e-01,-0.6
-5.944e-01,-0.24
-5.936e-01,-0.12
-5.928e-01,-0.36
-5.920e-01,-0.12
-5.912e-01,-0.36
-5.904e-01,-0.32
-5.896e-01,-0.16
-5.888e-01,-0.44
-5.880e-01,-0.16
-5.872e-01,0.04
-5.864e-01,0.04
-5.856e-01,0.28
-5.848e-01,0.56
-5.840e-01,0.68
-5.832e-01,0.56
-5.824e-01,0.6
-5.816e-01,0.6
-5.808e-01,0.6
-5.800e-01,0.6
-5.792e-01,0.6
-5.784e-01,0.36
-5.776e-01,0.84
-5.768e-01,0.68
-5.760e-01,0.8
-5.752e-01,0.96
-5.744e-01,1
-5.736e-01,1.16
-5.728e-01,1
-5.720e-01,0.88
-5.712e-01,0.8
-5.704e-01,0.76
-5.696e-01,0.48
-5.688e-01,0.64
-5.680e-01,0.44
-5.672e-01,0.48
-5.664e-01,0.52
-5.656e-01,0.32
-5.648e-01,0.56
-5.640e-01,0.6
-5.632e-01,0.56
-5.624e-01,1.04
-5.616e-01,0.44
-5.608e-01,0.68
-5.600e-01,0.4
-5.592e-01,0.52
-5.584e-01,0.16
-5.576e-01,0.24
-5.568e-01,-0.24
-5.560e-01,-0.04
-5.552e-01,-0.08
-5.544e-01,0.12
-5.536e-01,0.08
-5.528e-01,0.16
-5.520e-01,0.84
-5.512e-01,0.72
-5.504e-01,-0.36
-5.496e-01,0
-5.488e-01,0.76
-5.480e-01,0.12
-5.472e-01,-0.2
-5.464e-01,-1.36
-5.456e-01,0
-5.448e-01,0.12
-5.440e-01,-0.8
-5.432e-01,-0.88
-5.424e-01,-0.88
-5.416e-01,-0.64
-5.408e-01,-0.24
-5.400e-01,-0.44
-5.392e-01,-0.32
-5.384e-01,-0.32
-5.376e-01,-0.4
-5.368e-01,-0.36
-5.360e-01,-0.24
-5.352e-01,-0.52
-5.344e-01,-0.84
-5.336e-01,-0.76
-5.328e-01,-0.88
-5.320e-01,-0.84
-5.312e-01,-0.96
-5.304e-01,-0.76
-5.296e-01,-0.52
-5.288e-01,-0.68
-5.280e-01,-0.52
-5.272e-01,-0.12
-5.264e-01,-0.36
-5.256e-01,-0.44
-5.248e-01,-0.36
-5.240e-01,-0.48
-5.232e-01,-0.48
-5.224e-01,-0.56
-5.216e-01,-0.88
-5.208e-01,-0.6
-5.200e-01,-0.64
-5.192e-01,-0.76
-5.184e-01,-0.72
-5.176e-01,-0.32
-5.168e-01,-0.44
-5.160e-01,-0.56
-5.152e-01,-0.4
-5.144e-01,-0.32
-5.136e-01,-0.16
-5.128e-01,-0.4
-5.120e-01,-0.56
-5.112e-01,-0.28
-5.104e-01,-0.48
-5.096e-01,-0.52
-5.088e-01,-0.36
-5.080e-01,-0.44
-5.072e-01,-0.16
-5.064e-01,0.08
-5.056e-01,0.36
-5.048e-01,0.56
-5.040e-01,0.44
-5.032e-01,0.84
-5.024e-01,0.84
-5.016e-01,0.68
-5.008e-01,0.8
-5.000e-01,0.44
-4.992e-01,0.92
-4.984e-01,0.96
-4.976e-01,0.84
-4.968e-01,1.16
-4.960e-01,1.12
-4.952e-01,1.16
-4.944e-01,1.28
-4.936e-01,1.32
-4.928e-01,1.36
-4.920e-01,1.36
-4.912e-01,0.96
-4.904e-01,0.76
-4.896e-01,0.8
-4.888e-01,0.88
